_id,name,specialty_type,approved,premier
709,"Managed Care Consultants, LLC",medical,1,
711,MGM Resorts Health Plan,medical,1,
713,HealthSpan,medical,1,
715,Preferred Health Plan,medical,1,
717,SIHO,medical,1,
719,Arizona Foundation for Medical Care,medical,1,
721,HealthChoice,medical,1,
723,HealthNet,medical,1,
725,Pima Community Access Program (PCAP),medical,1,
727,Arizona Health Care Cost Containment System (AHCCCS),medical,1,0
729,BCBS/Highmark,medical,1,
731,BCBS/IBC,medical,1,
733,Peach State Health Plan,medical,1,
735,University of Pennsylvania/UPHS,medical,1,
737,Keystone First,medical,1,
739,Viking Yacht Company,medical,1,
741,"Delaware Physicians Care, Inc (DPCI)",medical,1,
743,"Denver Health Medical Plan, Inc.",medical,1,
745,MDwise- Hoosier Health,medical,1,
747,CareFirst BCBS,medical,1,
749,Banner Plan Administration,medical,1,0
751,Premier Network / Devon Health Services,medical,1,
753,HealthSmart ACCEL Network,medical,1,
755,USA MCO,medical,1,
757,Samba,medical,1,0
759,Blue Cross Blue Shield of Colorado,medical,1,0
761,Community ProHealth,medical,0,
763,Johns Hopkins Healthcare,medical,0,
765,Kaiser Plan,medical,0,
767,Healthchoice Orlando,medical,1,0
769,Motion Picture Industry Health Plans,medical,1,0
771,PEEHIP (BCBS) of Alabama,medical,1,0
773,Care N' Care,medical,1,0
775,New Benefits,medical,0,
777,AARP,medical,1,0
779,Mail Handlers Benefit Plan (MHBP),medical,1,0
781,Medi-Cal (California Medicaid),medical,1,0
783,UFCW & EMPLOYERS TRUST,medical,1,0
785,Innovation Health,medical,1,0
787,FCPS/Aetna/Innovation Health,medical,1,0
789,Saint Alphonsus Health Alliance,medical,1,0
791,VA Healthcare,medical,1,0
793,Ambetter of Arkansas,medical,1,0
795,iTriage Smart Network,medical,1,0
797,Piedmont Wellstar Health Plans,medical,0,
799,SSM Health Care,medical,0,
801,"Memorial Hermann Health Plan, Inc. (formerly MHealth)",medical,0,
803,TriCare Prime Remote- North region,medical,1,0
805,TriCare Prime- Overseas- Africa & Eurasia,medical,1,0
807,TriCare Prime-Overseas- Latin America & Canada,medical,1,0
809,TriCare Prime- Overseas- Pacific (Singapore),medical,1,0
811,TriCare Prime-Overseas- Pacific (Sydney),medical,1,0
813,TriCare South Region ,medical,1,0
815,TRICARE West Region,medical,1,0
817,TriCare Reserve Select,medical,1,0
819,TriCare Retired Reserve,medical,1,0
821,HealthMaster,medical,1,0
823,Blue Coast Insurance,medical,1,0
825,Compass Rose Benefits Group,medical,1,0
827,FTR Insurance,medical,1,0
829,Senior Dimensions,medical,1,0
831,QA Telemedicine,medical,1,0
833,Aetna (Colorado Health Neighborhoods),medical,1,0
835,Anthem BC/BS (Colorado Health Neighborhoods),medical,1,0
837,United Healthcare (Colorado Health Neighborhoods),medical,1,0
839,Colorado HealthOp - Inactive,medical,1,0
841,"University of Pittsburgh Medical Center ""UPMC""",medical,1,0
843,Exempla Spine Care at Denver West,medical,1,0
845,MODA Health,medical,1,0
846,Oscar Health,medical,1,0
848,MyGPPlus,medical,1,0
850,UnitedHealthcare Medicare Solutions,medical,1,0
852,Healthplex,medical,1,0
854,Ambetter Health from Coordinated Care,medical,1,0
856,Centura Health Associate Plan,medical,1,0
858,Ambetter from Magnolia Health,medical,1,0
860,Horizon Blue Cross Blue Shield of New Jersey,medical,1,0
862,Oregon Health Plan,medical,1,0
864,Health Share of Oregon,medical,1,0
866,Nevada Health CO-OP,medical,1,0
868,Consumers' Choice Health Plan,medical,1,0
870,Passport Health Plan,medical,1,0
872,CrestPoint Health,medical,1,0
874,Maine Community Health Options,medical,1,0
876,Staywell Health Plan,medical,1,0
878,NYSHIP,medical,1,0
880,Carelink from Coventry,medical,1,0
882,Blue Care Network,medical,1,0
884,APWU Health Plan,medical,1,0
886,NCE (National Congress of Employers),medical,1,0
888,Land of Lincoln Health,medical,1,0
890,Aetna Whole Health (Colorado Health Neighborhoods),medical,1,0
892,Soundpath Health,medical,1,0
894,CareFirst Blue Cross Blue Shield of Maryland,medical,1,0
896,CareSource Kentucky,medical,1,0
898,Saint Alphonsus Micron,medical,1,0
900,Anthem HealthKeepers Plus of Virginia,medical,1,0
902,Blueshield of Northeastern New York,medical,1,0
904,"Gilsbar, Inc.",medical,1,0
906,Ambetter Insured by Celtic,medical,1,0
908,Aetna Whole Health,medical,1,0
